station,city,latitude,longitude,PM2.5,PM10,NO2,SO2,CO,overall_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,hour,target_aqi_next_6h,timestamp
"New Mandi, Muzaffarnagar - UPPCB",Muzaffarnagar,29.47,77.72,148.0,128.0,0.0,17.0,40.0,148.0,21.5,63,8.1,283,986.8,12,148.0,2026-02-13T12:17:06.460076
"North Campus, DU, Delhi - IMD",Delhi,28.66,77.16,140.0,138.0,75.0,0.0,36.0,140.0,21.2,61,7.4,284,989.7,12,140.0,2026-02-13T12:17:06.460076
"OMC Colony, Suakati - OSPCB",Suakati,21.61,85.51,83.0,120.0,8.0,10.0,23.0,120.0,28.1,23,5.3,332,942.7,12,120.0,2026-02-13T12:17:06.460076
"OP Jindal Industrial Park, Tumidih - CECB",Tumidih,22.07,83.34,71.0,94.0,62.0,6.0,31.0,94.0,30.7,23,7.9,309,981.0,12,94.0,2026-02-13T12:17:06.460076
"OP Jindal School, Kunjemura - CECB",Kunjemura,22.13,83.48,60.0,129.0,35.0,10.0,40.0,129.0,31.1,24,8.3,304,985.5,12,129.0,2026-02-13T12:17:06.460076
"Okhla Phase-2, Delhi - DPCC",Delhi,28.53,77.27,183.0,162.0,103.0,14.0,101.0,183.0,21.4,55,7.5,287,989.8,12,183.0,2026-02-13T12:17:06.460076
"Old City, Sri Ganganagar - RSPCB",Sri Ganganagar,29.93,73.86,104.0,197.0,64.0,7.0,52.0,197.0,23.3,44,1.1,288,995.7,12,197.0,2026-02-13T12:17:06.460076
"Omex Eternity, Vrindavan - UPPCB",Vrindavan,27.57,77.66,51.0,69.0,27.0,18.0,32.0,69.0,22.6,57,7.8,283,995.1,12,69.0,2026-02-13T12:17:06.460076
"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,21.15,79.05,182.0,143.0,31.0,24.0,46.0,182.0,29.0,41,8.6,88,979.3,12,182.0,2026-02-13T12:17:06.460076
"PCBL Residential Complex, Durgapur - WBPCB",Durgapur,23.51,87.35,147.0,105.0,44.0,6.0,89.0,147.0,28.7,30,9.4,360,1004.5,12,147.0,2026-02-13T12:17:06.460076
"PSG College of Arts and Science, Coimbatore - TNPCB",Coimbatore,11.03,77.03,81.0,62.0,10.0,3.0,0.0,81.0,30.2,43,20.6,57,967.6,12,81.0,2026-02-13T12:17:06.460076
"PWD Junction, Kohima - NPCB",Kohima,25.66,94.1,56.0,48.0,4.0,79.0,10.0,79.0,17.5,52,7.9,321,854.1,12,79.0,2026-02-13T12:17:06.460076
"Padmapukur, Howrah - WBPCB",Howrah,22.57,88.28,138.0,157.0,95.0,8.0,54.0,157.0,26.2,52,8.0,350,1014.0,12,157.0,2026-02-13T12:17:06.460076
"Pallavpuram Phase 2, Meerut - UPPCB",Meerut,29.06,77.71,140.0,123.0,20.0,12.0,40.0,140.0,21.6,58,8.7,277,989.6,12,140.0,2026-02-13T12:17:06.460076
"Pan Bazaar, Guwahati - PCBA",Guwahati,26.19,91.74,241.0,140.0,0.0,41.0,33.0,241.0,25.8,58,6.1,273,1008.7,12,241.0,2026-02-13T12:17:06.460076
"Panchawati_Pashan, Pune - IITM",Pune,18.54,73.81,104.0,101.0,20.0,0.0,10.0,104.0,30.0,30,14.0,90,949.6,12,104.0,2026-02-13T12:17:06.460076
"Park Street Wakad, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad,18.59,73.78,103.0,110.0,77.0,7.0,61.0,110.0,30.1,31,13.8,97,952.7,12,110.0,2026-02-13T12:17:06.460076
"Paryavaran Parisar, Bhopal - MPPCB",Bhopal,23.21,77.43,86.0,124.0,52.0,16.0,25.0,124.0,27.8,42,0.8,297,959.8,12,124.0,2026-02-13T12:17:06.460076
"Patia, Bhubaneswar - OSPCB",Bhubaneswar,20.35,85.82,115.0,138.0,28.0,13.0,37.0,138.0,30.5,35,3.2,117,1009.3,12,138.0,2026-02-13T12:17:06.460076
"Patparganj, Delhi - DPCC",Delhi,28.62,77.29,196.0,172.0,83.0,23.0,0.0,196.0,22.0,51,7.5,287,992.4,12,196.0,2026-02-13T12:17:06.460076
"Patti Mehar, Ambala - HSPCB",Ambala,30.38,76.78,128.0,111.0,23.0,22.0,28.0,128.0,21.7,61,9.1,304,984.1,12,128.0,2026-02-13T12:17:06.460076
"Perungudi, Chennai - TNPCB",Chennai,12.95,80.24,67.0,102.0,7.0,4.0,39.0,102.0,29.7,53,11.2,42,1013.0,12,102.0,2026-02-13T12:17:06.460076
"Phase-1 GIDC, Vapi - GPCB",Vapi,20.36,72.92,68.0,68.0,19.0,10.0,0.0,68.0,25.5,72,8.9,333,1010.2,12,68.0,2026-02-13T12:17:06.460076
"Phase-4 GIDC, Vatva - GPCB",Vatva,22.97,72.64,153.0,133.0,73.0,21.0,18.0,153.0,31.3,36,3.8,73,1009.4,12,153.0,2026-02-13T12:17:06.460076
"Pimpleshwar Mandir, Kalyan - MPCB",Kalyan,19.19,72.96,105.0,141.0,20.0,22.0,91.0,141.0,32.0,38,4.2,329,1011.0,12,141.0,2026-02-13T12:17:06.460076
"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,8.51,76.94,0.0,0.0,0.0,12.0,18.0,20.0,31.3,52,11.1,205,1010.0,12,20.0,2026-02-13T12:17:06.460076
"Polayathode, Kollam - Kerala PCB",Kollam,8.88,76.61,46.0,76.0,0.0,0.0,0.0,76.0,30.2,57,1.8,281,1009.2,12,76.0,2026-02-13T12:17:06.460076
"Police Commissionerate, Jaipur - RSPCB",Jaipur,26.92,75.8,95.0,98.0,135.0,27.0,63.0,135.0,26.2,29,8.1,257,966.5,12,135.0,2026-02-13T12:17:06.460076
"Police Line, Saharsa - BSPCB",Saharsa,25.89,86.59,105.0,116.0,7.0,14.0,40.0,116.0,25.4,51,6.6,279,1009.9,12,116.0,2026-02-13T12:17:06.460076
"Police Lines, Jind - HSPCB",Jind,29.31,76.34,112.0,88.0,45.0,7.0,5.0,112.0,22.1,53,7.3,290,989.9,12,112.0,2026-02-13T12:17:06.460076
"Powai, Mumbai - MPCB",Mumbai,19.14,72.92,63.0,67.0,8.0,0.0,0.0,67.0,25.9,70,6.5,304,1005.8,12,67.0,2026-02-13T12:17:06.460076
"Prabhat Colony, Jalgaon - MPCB",Jalgaon,21.0,75.57,137.0,120.0,15.0,14.0,20.0,137.0,30.8,44,8.0,95,989.0,12,137.0,2026-02-13T12:17:06.460076
"Pragati Nagar, Pratapgarh - RSPCB",Pratapgarh,24.04,74.78,83.0,104.0,19.0,6.0,21.0,104.0,28.1,43,2.7,157,959.9,12,104.0,2026-02-13T12:17:06.460076
"Pratap Nagar, Bhilwara - RSPCB",Bhilwara,25.34,74.62,106.0,101.0,28.0,15.0,20.0,106.0,26.3,46,5.0,201,967.7,12,106.0,2026-02-13T12:17:06.460076
"Priyambada Housing Estate, Haldia - WBPCB",Haldia,22.06,88.11,132.0,113.0,26.0,13.0,52.0,132.0,27.6,40,10.5,352,1014.0,12,132.0,2026-02-13T12:17:06.460076
"Punjab Agricultural University, Ludhiana - PPCB",Ludhiana,30.9,75.81,75.0,89.0,21.0,39.0,64.0,89.0,21.8,58,5.8,300,986.9,12,89.0,2026-02-13T12:17:06.460076
"Punjabi Bagh, Delhi - DPCC",Delhi,28.67,77.13,223.0,166.0,46.0,20.0,34.0,223.0,21.3,61,7.4,284,991.1,12,223.0,2026-02-13T12:17:06.460076
"Pusa, Delhi - DPCC",Delhi,28.64,77.15,209.0,175.0,78.0,13.0,73.0,209.0,21.3,61,7.4,284,991.1,12,209.0,2026-02-13T12:17:06.460076
"Pusa, Delhi - IMD",Delhi,28.64,77.17,146.0,144.0,108.0,0.0,105.0,146.0,21.2,61,7.4,284,989.7,12,146.0,2026-02-13T12:17:06.460076
"R K Puram, Delhi - DPCC",Delhi,28.56,77.19,203.0,153.0,59.0,35.0,80.0,203.0,21.3,55,7.5,287,989.6,12,203.0,2026-02-13T12:17:06.460076
"RIICO Ind. Area III, Bhiwadi - RSPCB",Bhiwadi,28.19,76.86,160.0,149.0,57.0,30.0,64.0,160.0,22.4,51,8.2,293,984.7,12,160.0,2026-02-13T12:17:06.460076
"RIICO Sitapura, Jaipur - RSPCB",Jaipur,26.79,75.83,169.0,146.0,87.0,2.0,50.0,169.0,25.5,41,7.2,243,974.7,12,169.0,2026-02-13T12:17:06.460076
"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,30.65,76.33,242.0,216.0,24.0,30.0,84.0,242.0,22.1,54,8.7,312,985.0,12,242.0,2026-02-13T12:17:06.460076
"RVCE-Mailasandra, Bengaluru - KSPCB",Bengaluru,12.92,77.5,123.0,105.0,31.0,6.0,16.0,123.0,30.3,20,14.0,89,927.6,12,123.0,2026-02-13T12:17:06.460076
"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,22.63,88.38,230.0,166.0,106.0,9.0,66.0,230.0,26.4,48,7.4,346,1013.3,12,230.0,2026-02-13T12:17:06.460076
"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,22.51,88.35,149.0,103.0,109.0,21.0,58.0,149.0,26.6,46,7.5,343,1013.3,12,149.0,2026-02-13T12:17:06.460076
"Rachnakar Colony, Aurangabad - MPCB",Aurangabad,19.86,75.32,111.0,109.0,46.0,21.0,39.0,111.0,29.4,36,7.8,167,952.6,12,111.0,2026-02-13T12:17:06.460076
"Radhakishan Pura, Sikar - RSPCB",Sikar,27.61,75.15,95.0,163.0,43.0,5.0,43.0,163.0,24.7,31,8.3,288,967.4,12,163.0,2026-02-13T12:17:06.460076
"Raghunathpali, Rourkela - OSPCB",Rourkela,22.22,84.81,117.0,104.0,15.0,0.0,63.0,117.0,27.9,28,3.7,79,994.1,12,117.0,2026-02-13T12:17:06.460076
"Raikhad, Ahmedabad - IITM",Ahmedabad,23.02,72.58,106.0,150.0,87.0,24.0,0.0,150.0,31.2,36,3.8,73,1008.9,12,150.0,2026-02-13T12:17:06.460076
"Railway Colony, Barmer - RSPCB",Barmer,25.75,71.39,47.0,85.0,18.0,8.0,101.0,101.0,27.5,24,4.3,66,992.7,12,101.0,2026-02-13T12:17:06.460076
"Railway Colony, Guwahati - PCBA",Guwahati,26.18,91.78,301.0,186.0,0.0,25.0,20.0,301.0,25.9,60,7.4,299,1007.3,12,301.0,2026-02-13T12:17:06.460076
"Raja Ganj, Dholpur - RSPCB",Dholpur,26.7,77.9,102.0,100.0,0.0,7.0,0.0,102.0,23.8,63,2.5,278,996.0,12,102.0,2026-02-13T12:17:06.460076
"Rajbagh, Srinagar - JKPCC",Srinagar,34.07,74.82,20.0,31.0,0.0,3.0,13.0,31.0,11.0,54,4.7,4,846.1,12,31.0,2026-02-13T12:17:06.460076
"Rajbansi Nagar, Patna - BSPCB",Patna,25.6,85.11,94.0,121.0,27.0,6.0,41.0,121.0,25.5,43,7.2,288,1009.0,12,121.0,2026-02-13T12:17:06.460076
"Rajendra Nagar, Bareilly - UPPCB",Bareilly,28.39,79.43,35.0,68.0,10.0,38.0,3.0,68.0,21.5,64,8.0,262,995.1,12,68.0,2026-02-13T12:17:06.460076
"Rajiv Gandhi Park, Vijayawada - APPCB",Vijayawada,16.51,80.61,0.0,0.0,0.0,0.0,33.0,33.0,30.2,40,6.4,117,1012.5,12,33.0,2026-02-13T12:17:06.460076
"Rajiv Nagar, Vijayawada - APPCB",Vijayawada,16.55,80.65,59.0,69.0,28.0,18.0,47.0,69.0,30.2,40,6.4,117,1012.3,12,69.0,2026-02-13T12:17:06.460076
"Rajlaxmi Nagar, Jhalawar - RSPCB",Jhalawar,24.59,76.17,106.0,103.0,99.0,11.0,36.0,106.0,26.6,49,3.2,117,980.4,12,106.0,2026-02-13T12:17:06.460076
"Rakhial, Ahmedabad - IITM",Ahmedabad,23.02,72.63,121.0,134.0,62.0,0.0,36.0,134.0,31.2,36,3.8,73,1008.2,12,134.0,2026-02-13T12:17:06.460076
"Ram Nagar, Nagpur - MPCB",Nagpur,21.14,79.05,181.0,146.0,30.0,24.0,45.0,181.0,29.0,41,8.6,88,978.6,12,181.0,2026-02-13T12:17:06.460076
"Ramachandrapuram, Hyderabad - TSPCB",Hyderabad,17.53,78.29,47.0,77.0,21.0,11.0,30.0,77.0,29.6,31,10.9,107,955.7,12,77.0,2026-02-13T12:17:06.460076
"Ramdaspeth, Akola - MPCB",Akola,20.72,77.0,65.0,97.0,50.0,18.0,20.0,97.0,31.4,36,6.6,119,982.3,12,97.0,2026-02-13T12:17:06.460076
"Rampur, Korba - CECB",Korba,22.37,82.75,79.0,81.0,9.0,0.0,23.0,81.0,28.8,27,6.9,321,979.9,12,81.0,2026-02-13T12:17:06.460076
"Ratandeep Housing Society, Solapur - MPCB",Solapur,17.65,75.91,96.0,113.0,49.0,16.0,33.0,113.0,29.2,36,7.7,143,961.2,12,113.0,2026-02-13T12:17:06.460076
"Ratanpura, Rupnagar - Ambuja Cements",Rupnagar,31.03,76.56,34.0,46.0,27.0,6.0,40.0,46.0,22.4,54,7.7,298,983.8,12,46.0,2026-02-13T12:17:06.460076
"Rati Talai, Banswara - RSPCB",Banswara,23.56,74.44,82.0,100.0,33.0,7.0,30.0,100.0,29.6,49,4.1,75,990.5,12,100.0,2026-02-13T12:17:06.460076
"Regional Park, Indore - IMC",Indore,22.68,75.86,100.0,0.0,24.0,12.0,23.0,100.0,28.3,40,6.6,139,952.2,12,100.0,2026-02-13T12:17:06.460076
"Residency Area, Indore - IMC",Indore,22.71,75.88,67.0,75.0,27.0,2.0,32.0,75.0,29.1,37,3.6,143,952.9,12,75.0,2026-02-13T12:17:06.460076
"Revenue Colony-Shivajinagar, Pune - IITM",Pune,18.53,73.85,115.0,0.0,68.0,9.0,82.0,115.0,31.4,32,10.1,94,952.8,12,115.0,2026-02-13T12:17:06.460076
"Rishi Nagar, Kaithal - HSPCB",Kaithal,29.8,76.42,62.0,76.0,31.0,31.0,41.0,76.0,21.7,59,6.8,288,988.7,12,76.0,2026-02-13T12:17:06.460076
"Rohini, Delhi - DPCC",Delhi,28.73,77.12,234.0,184.0,49.0,20.0,29.0,234.0,21.3,62,7.3,281,991.3,12,234.0,2026-02-13T12:17:06.460076
"Rohta, Agra - UPPCB",Agra,27.11,78.0,63.0,103.0,14.0,10.0,18.0,103.0,23.3,58,6.0,287,997.1,12,103.0,2026-02-13T12:17:06.460076
"Royapuram, Chennai - TNPCB",Chennai,13.1,80.29,71.0,90.0,18.0,6.0,53.0,90.0,29.7,53,11.2,42,1012.4,12,90.0,2026-02-13T12:17:06.460076
"SAC ISRO Bopal, Ahmedabad - IITM",Ahmedabad,23.04,72.46,0.0,147.0,0.0,15.0,29.0,147.0,31.3,35,3.4,58,1008.9,12,147.0,2026-02-13T12:17:06.460076
"SAC ISRO Satellite, Ahmedabad - IITM",Ahmedabad,23.02,72.52,128.0,132.0,21.0,0.0,76.0,132.0,31.3,35,3.4,58,1008.8,12,132.0,2026-02-13T12:17:06.460076
"SDM Office_Khagra, Kishanganj - BSPCB",Kishanganj,26.09,87.94,229.0,120.0,0.0,6.0,18.0,229.0,26.8,49,5.8,263,1009.1,12,229.0,2026-02-13T12:17:06.460076
"SFTI Kusdihra, Gaya - BSPCB",Gaya,24.76,84.98,0.0,72.0,25.0,0.0,34.0,72.0,25.6,46,8.4,317,1001.7,12,72.0,2026-02-13T12:17:06.460076
"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,10.94,76.98,62.0,60.0,15.0,22.0,24.0,62.0,30.3,43,20.6,57,969.7,12,62.0,2026-02-13T12:17:06.460076
"SIPCOT Industrial Park, Perundurai - TNPCB",Perundurai,11.26,77.55,0.0,0.0,12.0,15.0,41.0,41.0,30.4,44,14.1,75,979.7,12,41.0,2026-02-13T12:17:06.460076
"SVPI Airport Hansol, Ahmedabad - IITM",Ahmedabad,23.08,72.63,99.0,0.0,0.0,0.0,13.0,99.0,31.6,35,4.7,94,1008.0,12,99.0,2026-02-13T12:17:06.460076
"SVSPA Campus, Barrackpore - WBPCB",Barrackpore,22.76,88.36,86.0,91.0,28.0,11.0,90.0,91.0,26.2,52,7.7,349,1012.7,12,91.0,2026-02-13T12:17:06.460076
"Sadanand Nagar, Mehsana - Nexteng Enviro",Mehsana,23.59,72.37,94.0,118.0,35.0,11.0,151.0,151.0,30.8,36,3.9,112,1005.5,12,151.0,2026-02-13T12:17:06.460076
"Sadar Bazar, Jaisalmer - RSPCB",Jaisalmer,26.91,70.91,89.0,117.0,35.0,4.0,26.0,117.0,24.3,39,4.7,32,989.1,12,117.0,2026-02-13T12:17:06.460076
"Sahu Nagar, Sawai Madhopur - RSPCB",Sawai Madhopur,26.03,76.36,119.0,175.0,30.0,3.0,29.0,175.0,25.8,60,6.5,236,986.5,12,175.0,2026-02-13T12:17:06.460076
"Samanpura, Patna - BSPCB",Patna,25.6,85.09,85.0,139.0,14.0,4.0,82.0,139.0,25.5,43,7.2,288,1008.9,12,139.0,2026-02-13T12:17:06.460076
"Samrat Ashok Udhyan, Jodhpur - RSPCB",Jodhpur,26.25,72.98,54.0,85.0,17.0,8.0,17.0,85.0,27.6,24,1.5,76,989.2,12,85.0,2026-02-13T12:17:06.460076
"Sanathnagar, Hyderabad - TSPCB",Hyderabad,17.46,78.43,76.0,0.0,46.0,25.0,56.0,76.0,29.3,34,10.6,114,954.0,12,76.0,2026-02-13T12:17:06.460076
"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,12.99,77.54,0.0,51.0,18.0,6.0,29.0,51.0,29.0,21,14.4,89,915.8,12,51.0,2026-02-13T12:17:06.460076
"Sanjay Nagar, Ghaziabad - UPPCB",Ghaziabad,28.69,77.45,162.0,164.0,81.0,17.0,35.0,164.0,21.5,57,7.9,286,991.1,12,164.0,2026-02-13T12:17:06.460076
"Sanjay Palace, Agra - UPPCB",Agra,27.2,78.01,134.0,96.0,5.0,18.0,36.0,134.0,23.2,55,6.4,286,996.6,12,134.0,2026-02-13T12:17:06.460076
"Sanpada, Navi Mumbai - MPCB",Navi Mumbai,19.06,73.02,123.0,147.0,14.0,25.0,82.0,147.0,32.1,39,3.1,306,1012.3,12,147.0,2026-02-13T12:17:06.460076
"Sardar Patel Inter College, Baghpat - UPPCB",Baghpat,28.96,77.28,117.0,125.0,32.0,27.0,35.0,125.0,20.9,66,6.5,276,990.0,12,125.0,2026-02-13T12:17:06.460076
"Sardar Patel Nagar, Dhanbad - JSPCB",Dhanbad,23.81,86.44,104.0,142.0,56.0,0.0,4.0,142.0,28.1,29,7.5,343,986.6,12,142.0,2026-02-13T12:17:06.460076
"Satyawati Vihar, Karauli - RSPCB",Karauli,26.51,77.03,71.0,79.0,36.0,3.0,50.0,79.0,24.2,62,5.4,266,985.5,12,79.0,2026-02-13T12:17:06.460076
"Savitribai Phule Pune University, Pune - MPCB",Pune,18.55,73.83,83.0,103.0,11.0,3.0,50.0,103.0,31.3,32,10.1,94,951.4,12,103.0,2026-02-13T12:17:06.460076
"Savta Mali Nagar, Pimpri-Chinchwad - IITM",Pimpri-Chinchwad,18.61,73.8,104.0,0.0,60.0,0.0,63.0,104.0,30.1,31,13.8,97,952.3,12,104.0,2026-02-13T12:17:06.460076
"Science Center, Surat - SMC",Surat,21.17,72.8,302.0,234.0,24.0,23.0,45.0,302.0,28.4,59,7.0,348,1012.7,12,302.0,2026-02-13T12:17:06.460076
"Secretariat, Amaravati - APPCB",Amaravati,16.52,80.52,79.0,128.0,40.0,16.0,30.0,128.0,30.7,39,6.3,114,1011.8,12,128.0,2026-02-13T12:17:06.460076
"Sector - 125, Noida - UPPCB",Noida,28.54,77.32,185.0,109.0,75.0,10.0,79.0,185.0,22.4,49,7.6,289,993.7,12,185.0,2026-02-13T12:17:06.460076
"Sector - 62, Noida - IMD",Noida,28.62,77.36,128.0,131.0,7.0,0.0,30.0,131.0,22.0,52,7.1,285,992.8,12,131.0,2026-02-13T12:17:06.460076
"Sector 22, Chandigarh - CPCC",Chandigarh,30.74,76.78,80.0,71.0,13.0,10.0,52.0,80.0,22.3,55,9.4,302,975.2,12,80.0,2026-02-13T12:17:06.460076
"Sector 30, Faridabad - HSPCB",Faridabad,28.44,77.32,93.0,0.0,0.0,0.0,61.0,93.0,22.4,49,7.6,289,992.7,12,93.0,2026-02-13T12:17:06.460076
"Sector-1, Noida - UPPCB",Noida,28.59,77.31,182.0,144.0,78.0,14.0,80.0,182.0,21.9,51,7.5,287,992.3,12,182.0,2026-02-13T12:17:06.460076
"Sector-10, Gandhinagar - GPCB",Gandhinagar,23.22,72.65,142.0,140.0,33.0,9.0,60.0,142.0,31.2,37,5.1,98,1005.9,12,142.0,2026-02-13T12:17:06.460076
"Sector-116, Noida - UPPCB",Noida,28.57,77.39,155.0,134.0,50.0,9.0,56.0,155.0,22.0,52,7.1,285,993.1,12,155.0,2026-02-13T12:17:06.460076
"Sector-12, Karnal - HSPCB",Karnal,29.7,77.0,119.0,106.0,6.0,6.0,33.0,119.0,21.1,64,7.7,281,986.9,12,119.0,2026-02-13T12:17:06.460076
"Sector-2 IMT, Manesar - HSPCB",Manesar,28.36,76.94,149.0,117.0,51.0,26.0,26.0,149.0,22.1,56,8.4,290,987.9,12,149.0,2026-02-13T12:17:06.460076
"Sector-2 Industrial Area, Pithampur - MPPCB",Pithampur,22.62,75.68,255.0,206.0,44.0,32.0,27.0,255.0,29.5,36,4.3,156,950.2,12,255.0,2026-02-13T12:17:06.460076
"Sector-2 Murlipura, Jaipur - RSPCB",Jaipur,26.96,75.77,74.0,106.0,49.0,7.0,60.0,106.0,26.5,29,9.0,265,965.6,12,106.0,2026-02-13T12:17:06.460076
"Sector-2, Rourkela - OSPCB",Rourkela,22.25,84.88,50.0,0.0,0.0,0.0,36.0,50.0,28.1,25,3.5,24,990.8,12,50.0,2026-02-13T12:17:06.460076
"Sector-25, Chandigarh - CPCC",Chandigarh,30.75,76.76,108.0,99.0,12.0,10.0,27.0,108.0,22.3,55,9.4,302,976.3,12,108.0,2026-02-13T12:17:06.460076
"Sector-2E Kalamboli, Navi Mumbai - MPCB",Navi Mumbai,19.03,73.1,70.0,86.0,16.0,5.0,42.0,86.0,30.0,49,4.6,309,1012.7,12,86.0,2026-02-13T12:17:06.460076
"Sector-3B Avas Vikas Colony, Agra - UPPCB",Agra,27.19,77.96,66.0,100.0,36.0,12.0,10.0,100.0,23.2,55,6.4,286,996.5,12,100.0,2026-02-13T12:17:06.460076
"Sector-51, Gurugram - HSPCB",Gurugram,28.42,77.07,246.0,196.0,9.0,7.0,65.0,246.0,22.4,51,8.6,292,989.4,12,246.0,2026-02-13T12:17:06.460076
"Sector-53, Chandigarh - CPCC",Chandigarh,30.72,76.74,53.0,60.0,52.0,11.0,62.0,62.0,22.4,55,9.4,302,977.1,12,62.0,2026-02-13T12:17:06.460076
"Sector-6, Panchkula - HSPCB ",Panchkula,30.71,76.85,79.0,0.0,25.0,0.0,22.0,79.0,22.4,52,9.7,297,974.9,12,79.0,2026-02-13T12:17:06.460076
"Sector-7, Kurukshetra - HSPCB",Kurukshetra,29.97,76.88,91.0,114.0,18.0,2.0,20.0,114.0,21.2,64,7.9,294,986.0,12,114.0,2026-02-13T12:17:06.460076
"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,23.11,77.51,279.0,169.0,96.0,19.0,60.0,279.0,27.9,42,0.8,117,965.7,12,279.0,2026-02-13T12:17:06.460076
"Sewri, Mumbai - BMC",Mumbai,19.0,72.86,0.0,117.0,0.0,0.0,0.0,117.0,26.3,70,6.5,304,1011.9,12,117.0,2026-02-13T12:17:06.460076
"Shadipur, Delhi - CPCB",Delhi,28.65,77.15,265.0,159.0,72.0,16.0,26.0,265.0,21.3,61,7.4,284,990.5,12,265.0,2026-02-13T12:17:06.460076
"Shahjahan Garden, Agra - UPPCB",Agra,27.17,78.04,35.0,129.0,13.0,38.0,14.0,129.0,23.3,58,6.0,287,997.3,12,129.0,2026-02-13T12:17:06.460076
"Shasthri Nagar, Ratlam - IPCA Lab",Ratlam,23.33,75.05,78.0,115.0,23.0,36.0,0.0,115.0,28.2,45,6.2,126,961.0,12,115.0,2026-02-13T12:17:06.460076
"Shastri Nagar, Chittorgarh - RSPCB",Chittorgarh,24.89,74.62,126.0,119.0,48.0,36.0,28.0,126.0,26.8,49,3.3,186,970.6,12,126.0,2026-02-13T12:17:06.460076
"Shastri Nagar, Jaipur - RSPCB",Jaipur,26.95,75.73,107.0,105.0,63.0,24.0,65.0,107.0,26.6,29,9.0,265,966.4,12,107.0,2026-02-13T12:17:06.460076
"Shastri Nagar, Narnaul - HSPCB",Narnaul,28.06,76.11,96.0,83.0,61.0,4.0,55.0,96.0,23.9,40,7.2,297,981.6,12,96.0,2026-02-13T12:17:06.460076
"Shastri Nagar, Tonk - RSPCB",Tonk,26.16,75.78,178.0,198.0,40.0,5.0,38.0,198.0,24.8,62,3.8,221,984.4,12,198.0,2026-02-13T12:17:06.460076
"Shastripuram, Agra - UPPCB",Agra,27.2,77.92,49.0,58.0,55.0,39.0,13.0,58.0,23.3,58,5.5,281,996.7,12,58.0,2026-02-13T12:17:06.460076
"Shivaji Nagar, Jhansi - UPPCB",Jhansi,25.45,78.6,0.0,90.0,6.0,20.0,20.0,90.0,26.8,46,5.4,250,988.3,12,90.0,2026-02-13T12:17:06.460076
"Shivaji Nagar, Mumbai - BMC",Mumbai,19.06,72.92,72.0,0.0,0.0,16.0,34.0,72.0,26.3,70,6.5,304,1012.5,12,72.0,2026-02-13T12:17:06.460076
"Shivaji Nagar, Rishikesh - UKPCB",Rishikesh,30.08,78.29,2.0,49.0,19.0,1.0,38.0,81.0,23.4,60,9.6,214,976.7,12,81.0,2026-02-13T12:17:06.460076
"Shivaji University, Kolhapur - MPCB",Kolhapur,16.69,74.25,44.0,77.0,53.0,5.0,45.0,77.0,28.5,30,14.7,107,950.7,12,77.0,2026-02-13T12:17:06.460076
"Shivapura_Peenya, Bengaluru - KSPCB",Bengaluru,13.02,77.51,0.0,89.0,18.0,6.0,40.0,89.0,28.9,21,14.4,89,914.4,12,89.0,2026-02-13T12:17:06.460076
"Shivneri Colony, Amravati - MPCB",Amravati,20.94,77.79,101.0,102.0,18.0,10.0,21.0,102.0,31.2,33,7.7,139,973.7,12,102.0,2026-02-13T12:17:06.460076
"Shri Shivaji Science College, Amravati - MPCB",Amravati,20.94,77.77,109.0,127.0,28.0,28.0,44.0,127.0,31.2,33,7.7,139,974.3,12,127.0,2026-02-13T12:17:06.460076
"Shrinath Puram, Kota - RSPCB",Kota,25.14,75.82,143.0,114.0,9.0,18.0,89.0,143.0,26.7,44,2.3,162,982.6,12,143.0,2026-02-13T12:17:06.460076
"Shrivastav Colony, Damoh - MPPCB",Damoh,23.82,79.45,0.0,0.0,0.0,0.0,15.0,15.0,26.1,48,0.5,225,968.2,12,15.0,2026-02-13T12:17:06.460076
"Shyam Nagar, Palwal - HSPCB",Palwal,28.15,77.33,51.0,57.0,24.0,14.0,38.0,57.0,21.7,60,7.5,287,993.8,12,57.0,2026-02-13T12:17:06.460076
"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai,19.0,72.81,100.0,120.0,0.0,0.0,49.0,120.0,26.3,70,6.5,304,1013.3,12,120.0,2026-02-13T12:17:06.460076
"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",Ulhasnagar,19.24,73.16,119.0,124.0,25.0,11.0,23.0,124.0,32.8,36,1.9,22,1011.0,12,124.0,2026-02-13T12:17:06.460076
"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,23.72,92.72,57.0,55.0,0.0,16.0,3.0,57.0,23.9,28,4.4,325,897.5,12,57.0,2026-02-13T12:17:06.460076
